key,value
n-1-1,"Dan has a bad habit of being too noisy. 

Tell about one of your bad habits"
n-1-2,"If Nick does something wrong, he feels better if he says, ""I'm sorry"".

What is something you are sorry for?"
n-1-3,"When all the lights went out, Simon was afraid. 

What are some things Simon could do?"
n-1-4,"Jamie likes to eat food that will help her stay healthy. 

Talk about your health."
a-1-5,"Jodie was tempted to cheat on a test.

If you have ever cheated, tell about it."
n-1-6,"Jan threw a tantrum when she did not get her own way. 

Do you ever throw tantrums? Talk about it."
a-1-7,"Alex goes to the doctor for a check-up at least once a year. 

Tell about going to the doctor. "
a-1-8,"When Katie had to give her speech, she felt nervous.

When do you feel nervous?"
a-1-9,"Winona was so sick, she had to stay in bed for a week.

Tell about a time when you were sick."
n-1-10,"When Gill moved away, Ted realized how much he loved her. 

Tell about someone you love."
n-1-11,"Once Rick pretended to be hurt so he would get attention.

What do you do when you want attention?"
n-1-12,"Angelos says, ""It's not good to hate somebody.""

Do you agree or disagree? Why?"
a-1-13,"Jake broke his neighbour's window and blamed his friend. Now he feels guilty. 

Tell about a time when you felt guilty."
n-1-14,"Maria needed a lot of courage to rescue the cat from the tall tree.

Tell about a time when you had courage."
a-1-15,"Donald thinks he can escape from his troubles by running away.

What do you think about running away?"
w-1-16,"Lela likes to watch adventure shows on TV.

Talk about your favourite TV show and why you like it."
n-1-17,"Penelope got mad at Chad and said, ""I'm never going to share again!"" 

Say something about sharing."
n-1-18,"Tristan threw mud on James's sweater. James got mad and wanted to fight.

What do you think about fighting?"
n-1-19,"Phoebe felt embarrassed when she didn't know the answer to the question. 

When do you feel embarrassed?"
w-1-20,"Rémi likes to recall memories from his past. 

Share 2 memories you have of your past."
a-1-21,"On rainy days Cat feels depressed.

When do you feel depressed?"
a-1-22,"Michelle cries when she watches a sad movie on TV.

When do you cry?"
n-1-23,"Philippa asked her mother for help then stubbornly insisted on doing things her way.

Tell about a time when you were stubborn."
a-1-24,"Maisie's grandmother died and she went to the funeral. 

Tell about a death in your family."
a-1-25,"When Daisy is sad, she wants to eat.

What do you do when you feel sad? "
a-1-26,"When David admitted he was afraid, he learned that everybody has fears.

What is one of your fears?"
n-1-27,"Lucy was disappointed when she wasn't invited to the party.

Tell about one of your disappointments."
a-1-28,"Duke can never play outside because his legs are crippled.

What are some things you could do with Duke if you were his friend?"
a-1-29,"When Francesca's guest did not arrive, she became worried.

What do you worry about?"
n-1-30,"Sometimes Dick makes mistakes.

Tell about a mistake you have made."
w-1-31,"Olga says, ""Everyone has a different personality.""

Talk about your personality."
n-1-32,"Sometimes Clayton gets frustrated with his family and wishes he could change them.

If you had the power, how would you change your family?"
w-1-33,"Tina wants her friends to respect her.

Talk about someone you respect and tell why you respect them."
